Autoscaler,Run,Minute,CPUCost_USD,MemoryCost_USD,TotalCost_USD
queue-CDT120,1,0,0.0018042,0.000168505859375,0.001972705859375
queue-CDT120,1,1,0.0018042,0.000168505859375,0.001972705859375
queue-CDT120,1,2,0.0018042,0.000168505859375,0.001972705859375
queue-CDT120,1,3,0.0019594,0.000179130859375,0.002138530859375
queue-CDT120,1,4,0.0022116,0.000196396484375,0.002407996484375
queue-CDT120,1,5,0.002691057142857143,0.00024067522321428574,0.0029317323660714286
queue-CDT120,1,6,0.003104,0.00028087768554687503,0.003384877685546875
queue-CDT120,1,7,0.0033949999999999996,0.00030414062500000005,0.0036991406249999997
queue-CDT120,1,8,0.003212085714285714,0.00027406808035714285,0.003486153794642857
queue-CDT120,1,9,0.0036666,0.000317421875,0.0039840218749999995
queue-CDT120,1,10,0.003832885714285714,0.00033644252232142857,0.004169328236607143
queue-CDT120,1,11,0.0042874,0.000386650390625,0.004674050390625
queue-CDT120,1,12,0.0041322,0.000376025390625,0.004508225390625
queue-CDT120,1,13,0.004365,0.000381939697265625,0.004746939697265625
queue-CDT120,1,14,0.004542371428571428,0.00040410574776785716,0.0049464771763392855
queue-CDT120,1,15,0.0042195,0.00036596069335937504,0.004585460693359375
queue-CDT120,1,16,0.0041031,0.00037735351562500003,0.004480453515625
queue-CDT120,1,17,0.004559,0.0003918798828125,0.0049508798828125
queue-CDT120,1,18,0.005270333333333333,0.0004539420572916667,0.005724275390624999
queue-CDT120,1,19,0.005850485714285714,0.0005203878348214287,0.0063708735491071426
queue-CDT120,1,20,0.005717457142857142,0.0005112806919642858,0.006228737834821429
queue-CDT120,1,21,0.005517914285714285,0.00048234654017857145,0.006000260825892857
queue-CDT120,1,22,0.0050052,0.00043579101562500003,0.005440991015625
queue-CDT120,1,23,0.004764085714285714,0.0004078292410714286,0.005171914955357143
queue-CDT120,1,24,0.0044814,0.00039324951171875003,0.00487464951171875
queue-CDT120,1,25,0.004431514285714286,0.00038506138392857146,0.004816575669642858
queue-CDT120,1,26,0.004919285714285714,0.0004299093191964286,0.005349195033482143
queue-CDT120,1,27,0.005495742857142857,0.0004884654017857143,0.005984208258928572
