Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-09 12:16:21,deployment,adservice,3,103,1,,,
2026-06-09 12:16:21,deployment,cartservice,4,62,1,,,
2026-06-09 12:16:21,deployment,checkoutservice,3,11,1,,,
2026-06-09 12:16:21,deployment,currencyservice,3,73,2,,,
2026-06-09 12:16:21,deployment,emailservice,6,65,1,,,
2026-06-09 12:16:21,deployment,frontend,0,15,1,,,
2026-06-09 12:16:21,http_p95_latency,frontend,,,,,,173.9
2026-06-09 12:16:21,deployment,paymentservice,2,69,1,,,
2026-06-09 12:16:21,deployment,productcatalogservice,4,18,1,,,
2026-06-09 12:16:21,deployment,recommendationservice,7,58,1,,,
2026-06-09 12:16:21,deployment,redis-cart,2,10,1,,,
2026-06-09 12:16:21,deployment,shippingservice,4,23,1,,,
2026-06-09 12:16:21,node,master,632,1565,,31.6,40.8,
2026-06-09 12:16:21,node,worker-1,211,1050,,10.5,27.4,
2026-06-09 12:16:21,node,worker-2,329,1265,,16.4,33.0,
2026-06-09 12:16:21,node,worker-3,33,628,,1.7,16.4,
2026-06-09 12:16:21,node,worker-4,358,1790,,17.9,46.6,
2026-06-09 12:16:29,deployment,adservice,3,103,1,,,
2026-06-09 12:16:29,deployment,cartservice,4,62,1,,,
2026-06-09 12:16:29,deployment,checkoutservice,3,11,1,,,
2026-06-09 12:16:29,deployment,currencyservice,3,73,2,,,
2026-06-09 12:16:29,deployment,emailservice,6,65,1,,,
2026-06-09 12:16:29,deployment,frontend,0,15,1,,,
2026-06-09 12:16:29,http_p95_latency,frontend,,,,,,173.9
2026-06-09 12:16:29,deployment,paymentservice,2,69,1,,,
2026-06-09 12:16:29,deployment,productcatalogservice,4,18,1,,,
2026-06-09 12:16:29,deployment,recommendationservice,7,58,1,,,
2026-06-09 12:16:29,deployment,redis-cart,2,10,1,,,
2026-06-09 12:16:29,deployment,shippingservice,4,23,1,,,
2026-06-09 12:16:29,node,master,632,1565,,31.6,40.8,
2026-06-09 12:16:29,node,worker-1,211,1050,,10.5,27.4,
2026-06-09 12:16:29,node,worker-2,329,1265,,16.4,33.0,
2026-06-09 12:16:29,node,worker-3,33,628,,1.7,16.4,
2026-06-09 12:16:29,node,worker-4,358,1790,,17.9,46.6,
2026-06-09 12:16:35,deployment,adservice,3,103,1,,,
2026-06-09 12:16:35,deployment,cartservice,4,62,1,,,
2026-06-09 12:16:35,deployment,checkoutservice,3,11,1,,,
2026-06-09 12:16:35,deployment,currencyservice,3,73,2,,,
2026-06-09 12:16:35,deployment,emailservice,6,65,1,,,
2026-06-09 12:16:35,deployment,frontend,0,15,1,,,
2026-06-09 12:16:35,http_p95_latency,frontend,,,,,,198.7
2026-06-09 12:16:35,deployment,paymentservice,4,69,1,,,
2026-06-09 12:16:35,deployment,productcatalogservice,9,19,1,,,
2026-06-09 12:16:35,deployment,recommendationservice,7,58,1,,,
2026-06-09 12:16:35,deployment,redis-cart,2,10,1,,,
2026-06-09 12:16:35,deployment,shippingservice,6,23,1,,,
2026-06-09 12:16:35,node,master,838,1718,,41.9,44.8,
2026-06-09 12:16:35,node,worker-1,387,1248,,19.4,32.5,
2026-06-09 12:16:35,node,worker-2,186,1237,,9.3,32.2,
2026-06-09 12:16:35,node,worker-3,127,629,,6.3,16.4,
2026-06-09 12:16:35,node,worker-4,450,1865,,22.5,48.6,
2026-06-09 12:16:41,deployment,adservice,4,103,1,,,
2026-06-09 12:16:41,deployment,cartservice,12,63,1,,,
2026-06-09 12:16:41,deployment,checkoutservice,3,11,1,,,
2026-06-09 12:16:41,deployment,currencyservice,40,71,2,,,
2026-06-09 12:16:41,deployment,emailservice,7,65,1,,,
2026-06-09 12:16:41,deployment,frontend,35,15,1,,,
2026-06-09 12:16:41,http_p95_latency,frontend,,,,,,198.7
2026-06-09 12:16:41,deployment,paymentservice,4,69,1,,,
2026-06-09 12:16:41,deployment,productcatalogservice,9,19,1,,,
2026-06-09 12:16:41,deployment,recommendationservice,7,58,1,,,
2026-06-09 12:16:41,deployment,redis-cart,2,10,1,,,
2026-06-09 12:16:41,deployment,shippingservice,6,23,1,,,
2026-06-09 12:16:41,node,master,838,1718,,41.9,44.8,
2026-06-09 12:16:41,node,worker-1,387,1248,,19.4,32.5,
2026-06-09 12:16:41,node,worker-2,186,1237,,9.3,32.2,
2026-06-09 12:16:41,node,worker-3,127,629,,6.3,16.4,
2026-06-09 12:16:41,node,worker-4,450,1865,,22.5,48.6,
2026-06-09 12:16:47,deployment,adservice,4,103,1,,,
2026-06-09 12:16:47,deployment,cartservice,12,63,1,,,
2026-06-09 12:16:47,deployment,checkoutservice,3,11,1,,,
2026-06-09 12:16:47,deployment,currencyservice,40,71,2,,,
2026-06-09 12:16:47,deployment,emailservice,7,65,1,,,
2026-06-09 12:16:47,deployment,frontend,35,15,1,,,
2026-06-09 12:16:47,http_p95_latency,frontend,,,,,,294.4
2026-06-09 12:16:47,deployment,paymentservice,4,69,1,,,
2026-06-09 12:16:47,deployment,productcatalogservice,9,19,1,,,
2026-06-09 12:16:47,deployment,recommendationservice,7,58,1,,,
2026-06-09 12:16:47,deployment,redis-cart,2,10,1,,,
2026-06-09 12:16:47,deployment,shippingservice,6,23,1,,,
2026-06-09 12:16:47,node,master,838,1718,,41.9,44.8,
2026-06-09 12:16:47,node,worker-1,387,1248,,19.4,32.5,
2026-06-09 12:16:47,node,worker-2,186,1237,,9.3,32.2,
2026-06-09 12:16:47,node,worker-3,127,629,,6.3,16.4,
2026-06-09 12:16:47,node,worker-4,450,1865,,22.5,48.6,
2026-06-09 12:16:54,deployment,adservice,6,103,1,,,
2026-06-09 12:16:54,deployment,cartservice,21,62,1,,,
2026-06-09 12:16:54,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:16:54,deployment,currencyservice,52,64,2,,,
2026-06-09 12:16:54,deployment,emailservice,6,65,1,,,
2026-06-09 12:16:54,deployment,frontend,55,15,1,,,
2026-06-09 12:16:54,http_p95_latency,frontend,,,,,,294.4
2026-06-09 12:16:54,deployment,paymentservice,3,69,1,,,
2026-06-09 12:16:54,deployment,productcatalogservice,28,19,1,,,
2026-06-09 12:16:54,deployment,recommendationservice,22,58,1,,,
2026-06-09 12:16:54,deployment,redis-cart,3,10,1,,,
2026-06-09 12:16:54,deployment,shippingservice,6,23,1,,,
2026-06-09 12:16:54,node,master,389,1663,,19.4,43.3,
2026-06-09 12:16:54,node,worker-1,330,1250,,16.5,32.6,
2026-06-09 12:16:54,node,worker-2,210,1239,,10.5,32.3,
2026-06-09 12:16:54,node,worker-3,91,644,,4.5,16.8,
2026-06-09 12:16:54,node,worker-4,190,1865,,9.5,48.6,
2026-06-09 12:16:59,deployment,adservice,6,103,1,,,
2026-06-09 12:16:59,deployment,cartservice,21,62,1,,,
2026-06-09 12:16:59,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:16:59,deployment,currencyservice,52,64,2,,,
2026-06-09 12:16:59,deployment,emailservice,6,65,1,,,
2026-06-09 12:16:59,deployment,frontend,55,15,1,,,
2026-06-09 12:16:59,http_p95_latency,frontend,,,,,,294.4
2026-06-09 12:16:59,deployment,paymentservice,3,69,1,,,
2026-06-09 12:16:59,deployment,productcatalogservice,28,19,1,,,
2026-06-09 12:16:59,deployment,recommendationservice,22,58,1,,,
2026-06-09 12:16:59,deployment,redis-cart,3,10,1,,,
2026-06-09 12:16:59,deployment,shippingservice,6,23,1,,,
2026-06-09 12:16:59,node,master,389,1663,,19.4,43.3,
2026-06-09 12:16:59,node,worker-1,330,1250,,16.5,32.6,
2026-06-09 12:16:59,node,worker-2,210,1239,,10.5,32.3,
2026-06-09 12:16:59,node,worker-3,91,644,,4.5,16.8,
2026-06-09 12:16:59,node,worker-4,190,1865,,9.5,48.6,
2026-06-09 12:17:05,deployment,adservice,6,103,1,,,
2026-06-09 12:17:05,deployment,cartservice,21,62,1,,,
2026-06-09 12:17:05,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:17:05,deployment,currencyservice,42,64,2,,,
2026-06-09 12:17:05,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:05,deployment,frontend,55,15,1,,,
2026-06-09 12:17:05,http_p95_latency,frontend,,,,,,115.0
2026-06-09 12:17:05,deployment,paymentservice,3,69,1,,,
2026-06-09 12:17:05,deployment,productcatalogservice,26,19,1,,,
2026-06-09 12:17:05,deployment,recommendationservice,21,61,1,,,
2026-06-09 12:17:05,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:05,deployment,shippingservice,5,23,1,,,
2026-06-09 12:17:05,node,master,278,1661,,13.9,43.3,
2026-06-09 12:17:05,node,worker-1,235,1250,,11.8,32.6,
2026-06-09 12:17:05,node,worker-2,175,1234,,8.8,32.1,
2026-06-09 12:17:05,node,worker-3,90,639,,4.5,16.6,
2026-06-09 12:17:05,node,worker-4,130,1858,,6.5,48.4,
2026-06-09 12:17:11,deployment,adservice,6,103,1,,,
2026-06-09 12:17:11,deployment,cartservice,19,62,1,,,
2026-06-09 12:17:11,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:17:11,deployment,currencyservice,42,64,2,,,
2026-06-09 12:17:11,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:11,deployment,frontend,55,15,1,,,
2026-06-09 12:17:11,http_p95_latency,frontend,,,,,,115.0
2026-06-09 12:17:11,deployment,paymentservice,3,69,1,,,
2026-06-09 12:17:11,deployment,productcatalogservice,26,19,1,,,
2026-06-09 12:17:11,deployment,recommendationservice,21,61,1,,,
2026-06-09 12:17:11,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:11,deployment,shippingservice,5,23,1,,,
2026-06-09 12:17:11,node,master,278,1661,,13.9,43.3,
2026-06-09 12:17:11,node,worker-1,235,1250,,11.8,32.6,
2026-06-09 12:17:11,node,worker-2,175,1234,,8.8,32.1,
2026-06-09 12:17:11,node,worker-3,90,639,,4.5,16.6,
2026-06-09 12:17:11,node,worker-4,130,1858,,6.5,48.4,
2026-06-09 12:17:17,deployment,adservice,6,103,1,,,
2026-06-09 12:17:17,deployment,cartservice,19,62,1,,,
2026-06-09 12:17:17,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:17:17,deployment,currencyservice,42,64,2,,,
2026-06-09 12:17:17,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:17,deployment,frontend,55,15,1,,,
2026-06-09 12:17:17,http_p95_latency,frontend,,,,,,122.8
2026-06-09 12:17:17,deployment,paymentservice,3,69,1,,,
2026-06-09 12:17:17,deployment,productcatalogservice,26,19,1,,,
2026-06-09 12:17:17,deployment,recommendationservice,21,61,1,,,
2026-06-09 12:17:17,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:17,deployment,shippingservice,5,23,1,,,
2026-06-09 12:17:17,node,master,278,1661,,13.9,43.3,
2026-06-09 12:17:17,node,worker-1,235,1250,,11.8,32.6,
2026-06-09 12:17:17,node,worker-2,175,1234,,8.8,32.1,
2026-06-09 12:17:17,node,worker-3,90,639,,4.5,16.6,
2026-06-09 12:17:17,node,worker-4,130,1858,,6.5,48.4,
2026-06-09 12:17:25,deployment,adservice,6,103,1,,,
2026-06-09 12:17:25,deployment,cartservice,18,62,1,,,
2026-06-09 12:17:25,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:17:25,deployment,currencyservice,60,63,2,,,
2026-06-09 12:17:25,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:25,deployment,frontend,60,15,1,,,
2026-06-09 12:17:25,http_p95_latency,frontend,,,,,,122.8
2026-06-09 12:17:25,deployment,paymentservice,3,69,1,,,
2026-06-09 12:17:25,deployment,productcatalogservice,33,19,1,,,
2026-06-09 12:17:25,deployment,recommendationservice,23,58,1,,,
2026-06-09 12:17:25,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:25,deployment,shippingservice,5,23,1,,,
2026-06-09 12:17:25,node,master,368,1664,,18.4,43.3,
2026-06-09 12:17:25,node,worker-1,243,1252,,12.2,32.6,
2026-06-09 12:17:25,node,worker-2,186,1238,,9.3,32.2,
2026-06-09 12:17:25,node,worker-3,79,637,,4.0,16.6,
2026-06-09 12:17:25,node,worker-4,143,1863,,7.1,48.5,
2026-06-09 12:17:32,deployment,adservice,6,103,1,,,
2026-06-09 12:17:32,deployment,cartservice,18,62,1,,,
2026-06-09 12:17:32,deployment,checkoutservice,5,12,1,,,
2026-06-09 12:17:32,deployment,currencyservice,60,63,2,,,
2026-06-09 12:17:32,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:32,deployment,frontend,60,15,1,,,
2026-06-09 12:17:32,http_p95_latency,frontend,,,,,,218.8
2026-06-09 12:17:32,deployment,paymentservice,3,69,1,,,
2026-06-09 12:17:32,deployment,productcatalogservice,33,19,1,,,
2026-06-09 12:17:32,deployment,recommendationservice,23,58,1,,,
2026-06-09 12:17:32,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:32,deployment,shippingservice,5,23,1,,,
2026-06-09 12:17:32,node,master,368,1664,,18.4,43.3,
2026-06-09 12:17:32,node,worker-1,243,1252,,12.2,32.6,
2026-06-09 12:17:32,node,worker-2,186,1238,,9.3,32.2,
2026-06-09 12:17:32,node,worker-3,79,637,,4.0,16.6,
2026-06-09 12:17:32,node,worker-4,143,1863,,7.1,48.5,
2026-06-09 12:17:38,deployment,adservice,9,103,1,,,
2026-06-09 12:17:38,deployment,cartservice,27,62,1,,,
2026-06-09 12:17:38,deployment,checkoutservice,7,12,1,,,
2026-06-09 12:17:38,deployment,currencyservice,74,65,2,,,
2026-06-09 12:17:38,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:38,deployment,frontend,80,15,1,,,
2026-06-09 12:17:38,http_p95_latency,frontend,,,,,,218.8
2026-06-09 12:17:38,deployment,paymentservice,4,69,1,,,
2026-06-09 12:17:38,deployment,productcatalogservice,28,19,1,,,
2026-06-09 12:17:38,deployment,recommendationservice,31,58,1,,,
2026-06-09 12:17:38,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:38,deployment,shippingservice,7,23,1,,,
2026-06-09 12:17:38,node,master,483,1665,,24.1,43.4,
2026-06-09 12:17:38,node,worker-1,291,1252,,14.5,32.6,
2026-06-09 12:17:38,node,worker-2,198,1240,,9.9,32.3,
2026-06-09 12:17:38,node,worker-3,126,636,,6.3,16.6,
2026-06-09 12:17:38,node,worker-4,145,1860,,7.2,48.5,
2026-06-09 12:17:44,deployment,adservice,9,103,1,,,
2026-06-09 12:17:44,deployment,cartservice,27,62,1,,,
2026-06-09 12:17:44,deployment,checkoutservice,7,12,1,,,
2026-06-09 12:17:44,deployment,currencyservice,74,65,2,,,
2026-06-09 12:17:44,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:44,deployment,frontend,80,15,1,,,
2026-06-09 12:17:44,http_p95_latency,frontend,,,,,,218.8
2026-06-09 12:17:44,deployment,paymentservice,4,69,1,,,
2026-06-09 12:17:44,deployment,productcatalogservice,28,19,1,,,
2026-06-09 12:17:44,deployment,recommendationservice,31,58,1,,,
2026-06-09 12:17:44,deployment,redis-cart,3,10,1,,,
2026-06-09 12:17:44,deployment,shippingservice,7,23,1,,,
2026-06-09 12:17:44,node,master,483,1665,,24.1,43.4,
2026-06-09 12:17:44,node,worker-1,291,1252,,14.5,32.6,
2026-06-09 12:17:44,node,worker-2,198,1240,,9.9,32.3,
2026-06-09 12:17:44,node,worker-3,126,636,,6.3,16.6,
2026-06-09 12:17:44,node,worker-4,145,1860,,7.2,48.5,
2026-06-09 12:17:50,deployment,adservice,9,103,1,,,
2026-06-09 12:17:50,deployment,cartservice,27,62,1,,,
2026-06-09 12:17:50,deployment,checkoutservice,8,11,1,,,
2026-06-09 12:17:50,deployment,currencyservice,70,67,2,,,
2026-06-09 12:17:50,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:50,deployment,frontend,104,15,1,,,
2026-06-09 12:17:50,http_p95_latency,frontend,,,,,,194.7
2026-06-09 12:17:50,deployment,paymentservice,4,69,1,,,
2026-06-09 12:17:50,deployment,productcatalogservice,48,19,1,,,
2026-06-09 12:17:50,deployment,recommendationservice,40,58,1,,,
2026-06-09 12:17:50,deployment,redis-cart,4,10,1,,,
2026-06-09 12:17:50,deployment,shippingservice,7,23,1,,,
2026-06-09 12:17:50,node,master,400,1662,,20.0,43.3,
2026-06-09 12:17:50,node,worker-1,375,1253,,18.8,32.6,
2026-06-09 12:17:50,node,worker-2,281,1241,,14.1,32.3,
2026-06-09 12:17:50,node,worker-3,137,637,,6.9,16.6,
2026-06-09 12:17:50,node,worker-4,150,1857,,7.5,48.4,
2026-06-09 12:17:58,deployment,adservice,8,103,1,,,
2026-06-09 12:17:58,deployment,cartservice,27,62,1,,,
2026-06-09 12:17:58,deployment,checkoutservice,8,11,1,,,
2026-06-09 12:17:58,deployment,currencyservice,25,48,1,,,
2026-06-09 12:17:58,deployment,emailservice,7,65,1,,,
2026-06-09 12:17:58,deployment,frontend,104,15,1,,,
2026-06-09 12:17:58,http_p95_latency,frontend,,,,,,194.7
2026-06-09 12:17:58,deployment,paymentservice,4,69,1,,,
2026-06-09 12:17:58,deployment,productcatalogservice,48,19,1,,,
2026-06-09 12:17:58,deployment,recommendationservice,40,58,1,,,
2026-06-09 12:17:58,deployment,redis-cart,4,10,1,,,
2026-06-09 12:17:58,deployment,shippingservice,7,23,1,,,
2026-06-09 12:17:58,node,master,400,1662,,20.0,43.3,
2026-06-09 12:17:58,node,worker-1,375,1253,,18.8,32.6,
2026-06-09 12:17:58,node,worker-2,281,1241,,14.1,32.3,
2026-06-09 12:17:58,node,worker-3,137,637,,6.9,16.6,
2026-06-09 12:17:58,node,worker-4,150,1857,,7.5,48.4,
2026-06-09 12:18:04,deployment,adservice,8,103,1,,,
2026-06-09 12:18:04,deployment,cartservice,27,62,1,,,
2026-06-09 12:18:04,deployment,checkoutservice,8,11,1,,,
2026-06-09 12:18:04,deployment,currencyservice,25,48,1,,,
2026-06-09 12:18:04,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:04,deployment,frontend,104,15,1,,,
2026-06-09 12:18:04,http_p95_latency,frontend,,,,,,153.6
2026-06-09 12:18:04,deployment,paymentservice,4,69,1,,,
2026-06-09 12:18:04,deployment,productcatalogservice,48,19,1,,,
2026-06-09 12:18:04,deployment,recommendationservice,40,58,1,,,
2026-06-09 12:18:04,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:04,deployment,shippingservice,7,23,1,,,
2026-06-09 12:18:04,node,master,494,1670,,24.7,43.5,
2026-06-09 12:18:04,node,worker-1,371,1252,,18.6,32.6,
2026-06-09 12:18:04,node,worker-2,282,1244,,14.1,32.4,
2026-06-09 12:18:04,node,worker-3,131,636,,6.6,16.6,
2026-06-09 12:18:04,node,worker-4,188,1862,,9.4,48.5,
2026-06-09 12:18:11,deployment,adservice,9,104,1,,,
2026-06-09 12:18:11,deployment,cartservice,40,63,1,,,
2026-06-09 12:18:11,deployment,checkoutservice,7,11,1,,,
2026-06-09 12:18:11,deployment,currencyservice,36,50,1,,,
2026-06-09 12:18:11,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:11,deployment,frontend,100,15,1,,,
2026-06-09 12:18:11,http_p95_latency,frontend,,,,,,153.6
2026-06-09 12:18:11,deployment,paymentservice,4,69,1,,,
2026-06-09 12:18:11,deployment,productcatalogservice,51,19,1,,,
2026-06-09 12:18:11,deployment,recommendationservice,38,58,1,,,
2026-06-09 12:18:11,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:11,deployment,shippingservice,8,23,1,,,
2026-06-09 12:18:11,node,master,494,1670,,24.7,43.5,
2026-06-09 12:18:11,node,worker-1,371,1252,,18.6,32.6,
2026-06-09 12:18:11,node,worker-2,282,1244,,14.1,32.4,
2026-06-09 12:18:11,node,worker-3,131,636,,6.6,16.6,
2026-06-09 12:18:11,node,worker-4,188,1862,,9.4,48.5,
2026-06-09 12:18:18,deployment,adservice,9,104,1,,,
2026-06-09 12:18:18,deployment,cartservice,40,63,1,,,
2026-06-09 12:18:18,deployment,checkoutservice,7,11,1,,,
2026-06-09 12:18:18,deployment,currencyservice,36,50,1,,,
2026-06-09 12:18:18,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:18,deployment,frontend,100,15,1,,,
2026-06-09 12:18:18,http_p95_latency,frontend,,,,,,200.8
2026-06-09 12:18:18,deployment,paymentservice,4,69,1,,,
2026-06-09 12:18:18,deployment,productcatalogservice,51,19,1,,,
2026-06-09 12:18:18,deployment,recommendationservice,38,58,1,,,
2026-06-09 12:18:18,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:18,deployment,shippingservice,8,23,1,,,
2026-06-09 12:18:18,node,master,494,1670,,24.7,43.5,
2026-06-09 12:18:18,node,worker-1,371,1252,,18.6,32.6,
2026-06-09 12:18:18,node,worker-2,282,1244,,14.1,32.4,
2026-06-09 12:18:18,node,worker-3,131,636,,6.6,16.6,
2026-06-09 12:18:18,node,worker-4,188,1862,,9.4,48.5,
2026-06-09 12:18:24,deployment,adservice,10,104,1,,,
2026-06-09 12:18:24,deployment,cartservice,40,63,1,,,
2026-06-09 12:18:24,deployment,checkoutservice,7,11,1,,,
2026-06-09 12:18:24,deployment,currencyservice,50,55,1,,,
2026-06-09 12:18:24,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:24,deployment,frontend,98,15,1,,,
2026-06-09 12:18:24,http_p95_latency,frontend,,,,,,200.8
2026-06-09 12:18:24,deployment,paymentservice,3,69,1,,,
2026-06-09 12:18:24,deployment,productcatalogservice,47,19,1,,,
2026-06-09 12:18:24,deployment,recommendationservice,39,58,1,,,
2026-06-09 12:18:24,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:24,deployment,shippingservice,7,23,1,,,
2026-06-09 12:18:24,node,master,337,1668,,16.9,43.4,
2026-06-09 12:18:24,node,worker-1,394,1252,,19.7,32.6,
2026-06-09 12:18:24,node,worker-2,295,1248,,14.8,32.5,
2026-06-09 12:18:24,node,worker-3,115,637,,5.8,16.6,
2026-06-09 12:18:24,node,worker-4,147,1860,,7.3,48.5,
2026-06-09 12:18:30,deployment,adservice,10,104,1,,,
2026-06-09 12:18:30,deployment,cartservice,40,63,1,,,
2026-06-09 12:18:30,deployment,checkoutservice,7,11,1,,,
2026-06-09 12:18:30,deployment,currencyservice,50,55,1,,,
2026-06-09 12:18:30,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:30,deployment,frontend,98,15,1,,,
2026-06-09 12:18:30,http_p95_latency,frontend,,,,,,200.8
2026-06-09 12:18:30,deployment,paymentservice,3,69,1,,,
2026-06-09 12:18:30,deployment,productcatalogservice,47,19,1,,,
2026-06-09 12:18:30,deployment,recommendationservice,39,58,1,,,
2026-06-09 12:18:30,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:30,deployment,shippingservice,7,23,1,,,
2026-06-09 12:18:30,node,master,337,1668,,16.9,43.4,
2026-06-09 12:18:30,node,worker-1,394,1252,,19.7,32.6,
2026-06-09 12:18:30,node,worker-2,295,1248,,14.8,32.5,
2026-06-09 12:18:30,node,worker-3,115,637,,5.8,16.6,
2026-06-09 12:18:30,node,worker-4,147,1860,,7.3,48.5,
2026-06-09 12:18:37,deployment,adservice,12,104,1,,,
2026-06-09 12:18:37,deployment,cartservice,54,63,1,,,
2026-06-09 12:18:37,deployment,checkoutservice,10,11,1,,,
2026-06-09 12:18:37,deployment,currencyservice,78,56,1,,,
2026-06-09 12:18:37,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:37,deployment,frontend,127,15,1,,,
2026-06-09 12:18:37,http_p95_latency,frontend,,,,,,268.4
2026-06-09 12:18:37,deployment,paymentservice,6,69,1,,,
2026-06-09 12:18:37,deployment,productcatalogservice,58,19,1,,,
2026-06-09 12:18:37,deployment,recommendationservice,50,58,1,,,
2026-06-09 12:18:37,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:37,deployment,shippingservice,7,23,1,,,
2026-06-09 12:18:37,node,master,413,1672,,20.6,43.6,
2026-06-09 12:18:37,node,worker-1,422,1251,,21.1,32.6,
2026-06-09 12:18:37,node,worker-2,352,1250,,17.6,32.6,
2026-06-09 12:18:37,node,worker-3,149,634,,7.4,16.5,
2026-06-09 12:18:37,node,worker-4,206,1744,,10.3,45.4,
2026-06-09 12:18:44,deployment,adservice,12,104,1,,,
2026-06-09 12:18:44,deployment,cartservice,54,63,1,,,
2026-06-09 12:18:44,deployment,checkoutservice,10,11,1,,,
2026-06-09 12:18:44,deployment,currencyservice,78,56,1,,,
2026-06-09 12:18:44,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:44,deployment,frontend,127,15,1,,,
2026-06-09 12:18:44,http_p95_latency,frontend,,,,,,268.4
2026-06-09 12:18:44,deployment,paymentservice,6,69,1,,,
2026-06-09 12:18:44,deployment,productcatalogservice,58,19,1,,,
2026-06-09 12:18:44,deployment,recommendationservice,50,58,1,,,
2026-06-09 12:18:44,deployment,redis-cart,4,10,1,,,
2026-06-09 12:18:44,deployment,shippingservice,7,23,1,,,
2026-06-09 12:18:44,node,master,413,1672,,20.6,43.6,
2026-06-09 12:18:44,node,worker-1,422,1251,,21.1,32.6,
2026-06-09 12:18:44,node,worker-2,352,1250,,17.6,32.6,
2026-06-09 12:18:44,node,worker-3,149,634,,7.4,16.5,
2026-06-09 12:18:44,node,worker-4,206,1744,,10.3,45.4,
2026-06-09 12:18:49,deployment,adservice,12,104,1,,,
2026-06-09 12:18:49,deployment,cartservice,54,63,1,,,
2026-06-09 12:18:49,deployment,checkoutservice,10,11,1,,,
2026-06-09 12:18:49,deployment,currencyservice,78,56,1,,,
2026-06-09 12:18:49,deployment,emailservice,7,65,1,,,
2026-06-09 12:18:49,deployment,frontend,127,15,1,,,
2026-06-09 12:18:49,http_p95_latency,frontend,,,,,,210.4
2026-06-09 12:18:49,deployment,paymentservice,6,69,1,,,
2026-06-09 12:18:49,deployment,productcatalogservice,69,19,1,,,
2026-06-09 12:18:49,deployment,recommendationservice,50,58,1,,,
2026-06-09 12:18:49,deployment,redis-cart,5,10,1,,,
2026-06-09 12:18:49,deployment,shippingservice,10,23,1,,,
2026-06-09 12:18:49,node,master,439,1669,,21.9,43.5,
2026-06-09 12:18:49,node,worker-1,463,1250,,23.2,32.6,
2026-06-09 12:18:49,node,worker-2,406,1253,,20.3,32.6,
2026-06-09 12:18:49,node,worker-3,146,634,,7.3,16.5,
2026-06-09 12:18:49,node,worker-4,181,1741,,9.0,45.4,
2026-06-09 12:18:58,deployment,adservice,13,104,1,,,
2026-06-09 12:18:58,deployment,cartservice,66,63,1,,,
2026-06-09 12:18:58,deployment,checkoutservice,11,11,1,,,
2026-06-09 12:18:58,deployment,currencyservice,76,59,1,,,
2026-06-09 12:18:58,deployment,emailservice,8,65,1,,,
2026-06-09 12:18:58,deployment,frontend,127,15,1,,,
2026-06-09 12:18:58,http_p95_latency,frontend,,,,,,210.4
2026-06-09 12:18:58,deployment,paymentservice,4,69,1,,,
2026-06-09 12:18:58,deployment,productcatalogservice,69,19,1,,,
2026-06-09 12:18:58,deployment,recommendationservice,50,58,1,,,
2026-06-09 12:18:58,deployment,redis-cart,5,10,1,,,
2026-06-09 12:18:58,deployment,shippingservice,10,23,1,,,
2026-06-09 12:18:58,node,master,439,1669,,21.9,43.5,
2026-06-09 12:18:58,node,worker-1,463,1250,,23.2,32.6,
2026-06-09 12:18:58,node,worker-2,406,1253,,20.3,32.6,
2026-06-09 12:18:58,node,worker-3,146,634,,7.3,16.5,
2026-06-09 12:18:58,node,worker-4,181,1741,,9.0,45.4,
2026-06-09 12:19:05,deployment,adservice,13,104,1,,,
2026-06-09 12:19:05,deployment,cartservice,66,63,1,,,
