Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-09 11:05:47,deployment,adservice,6,102,1,,,
2026-06-09 11:05:47,deployment,cartservice,33,62,1,,,
2026-06-09 11:05:47,deployment,checkoutservice,3,11,1,,,
2026-06-09 11:05:47,deployment,currencyservice,38,73,1,,,
2026-06-09 11:05:47,deployment,emailservice,6,61,1,,,
2026-06-09 11:05:47,deployment,frontend,43,15,1,,,
2026-06-09 11:05:47,http_p95_latency,frontend,,,,,,587.9
2026-06-09 11:05:47,deployment,paymentservice,5,67,1,,,
2026-06-09 11:05:47,deployment,productcatalogservice,2,19,1,,,
2026-06-09 11:05:47,deployment,recommendationservice,62,58,1,,,
2026-06-09 11:05:47,deployment,redis-cart,2,10,1,,,
2026-06-09 11:05:47,deployment,shippingservice,4,22,1,,,
2026-06-09 11:05:47,node,master,541,2542,,27.1,66.2,
2026-06-09 11:05:47,node,worker-1,219,1637,,10.9,42.6,
2026-06-09 11:05:47,node,worker-2,304,1975,,15.2,51.4,
2026-06-09 11:05:47,node,worker-3,180,644,,9.0,16.8,
2026-06-09 11:05:47,node,worker-4,431,2283,,21.6,59.5,
2026-06-09 11:05:54,deployment,adservice,5,103,1,,,
2026-06-09 11:05:54,deployment,cartservice,4,62,1,,,
2026-06-09 11:05:54,deployment,checkoutservice,2,11,1,,,
2026-06-09 11:05:54,deployment,currencyservice,3,73,1,,,
2026-06-09 11:05:54,deployment,emailservice,8,61,1,,,
2026-06-09 11:05:54,deployment,frontend,0,15,1,,,
2026-06-09 11:05:54,http_p95_latency,frontend,,,,,,587.9
2026-06-09 11:05:54,deployment,paymentservice,2,67,1,,,
2026-06-09 11:05:54,deployment,productcatalogservice,2,19,1,,,
2026-06-09 11:05:54,deployment,recommendationservice,6,58,1,,,
2026-06-09 11:05:54,deployment,redis-cart,2,10,1,,,
2026-06-09 11:05:54,deployment,shippingservice,4,22,1,,,
2026-06-09 11:05:54,node,master,1072,2578,,53.6,67.2,
2026-06-09 11:05:54,node,worker-1,1259,1303,,62.9,33.9,
2026-06-09 11:05:54,node,worker-2,458,1197,,22.9,31.2,
2026-06-09 11:05:54,node,worker-3,237,647,,11.8,16.9,
2026-06-09 11:05:54,node,worker-4,858,2077,,42.9,54.1,
2026-06-09 11:06:00,deployment,adservice,5,103,1,,,
2026-06-09 11:06:00,deployment,cartservice,4,62,1,,,
2026-06-09 11:06:00,deployment,checkoutservice,2,11,1,,,
2026-06-09 11:06:00,deployment,currencyservice,3,73,1,,,
2026-06-09 11:06:00,deployment,emailservice,8,61,1,,,
2026-06-09 11:06:00,deployment,frontend,0,15,1,,,
2026-06-09 11:06:00,http_p95_latency,frontend,,,,,,587.9
2026-06-09 11:06:00,deployment,paymentservice,2,67,1,,,
2026-06-09 11:06:00,deployment,productcatalogservice,2,19,1,,,
2026-06-09 11:06:00,deployment,recommendationservice,6,58,1,,,
2026-06-09 11:06:00,deployment,redis-cart,2,10,1,,,
2026-06-09 11:06:00,deployment,shippingservice,4,22,1,,,
2026-06-09 11:06:00,node,master,1072,2578,,53.6,67.2,
2026-06-09 11:06:00,node,worker-1,1259,1303,,62.9,33.9,
2026-06-09 11:06:00,node,worker-2,458,1197,,22.9,31.2,
2026-06-09 11:06:00,node,worker-3,237,647,,11.8,16.9,
2026-06-09 11:06:00,node,worker-4,858,2077,,42.9,54.1,
2026-06-09 11:06:07,deployment,adservice,6,103,1,,,
2026-06-09 11:06:07,deployment,cartservice,15,62,1,,,
2026-06-09 11:06:07,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:06:07,deployment,currencyservice,18,47,1,,,
2026-06-09 11:06:07,deployment,emailservice,7,61,1,,,
2026-06-09 11:06:07,deployment,frontend,50,13,1,,,
2026-06-09 11:06:07,http_p95_latency,frontend,,,,,,215.3
2026-06-09 11:06:07,deployment,paymentservice,4,67,1,,,
2026-06-09 11:06:07,deployment,productcatalogservice,25,19,1,,,
2026-06-09 11:06:07,deployment,recommendationservice,23,58,1,,,
2026-06-09 11:06:07,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:07,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:07,node,master,559,1674,,28.0,43.6,
2026-06-09 11:06:07,node,worker-1,263,1299,,13.2,33.8,
2026-06-09 11:06:07,node,worker-2,210,1169,,10.5,30.5,
2026-06-09 11:06:07,node,worker-3,152,648,,7.6,16.9,
2026-06-09 11:06:07,node,worker-4,228,1984,,11.4,51.7,
2026-06-09 11:06:13,deployment,adservice,6,103,1,,,
2026-06-09 11:06:13,deployment,cartservice,15,62,1,,,
2026-06-09 11:06:13,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:06:13,deployment,currencyservice,18,47,1,,,
2026-06-09 11:06:13,deployment,emailservice,7,61,1,,,
2026-06-09 11:06:13,deployment,frontend,50,13,1,,,
2026-06-09 11:06:13,http_p95_latency,frontend,,,,,,215.3
2026-06-09 11:06:13,deployment,paymentservice,4,67,1,,,
2026-06-09 11:06:13,deployment,productcatalogservice,25,19,1,,,
2026-06-09 11:06:13,deployment,recommendationservice,23,58,1,,,
2026-06-09 11:06:13,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:13,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:13,node,master,559,1674,,28.0,43.6,
2026-06-09 11:06:13,node,worker-1,263,1299,,13.2,33.8,
2026-06-09 11:06:13,node,worker-2,210,1169,,10.5,30.5,
2026-06-09 11:06:13,node,worker-3,152,648,,7.6,16.9,
2026-06-09 11:06:13,node,worker-4,228,1984,,11.4,51.7,
2026-06-09 11:06:19,deployment,adservice,6,103,1,,,
2026-06-09 11:06:19,deployment,cartservice,15,62,1,,,
2026-06-09 11:06:19,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:06:19,deployment,currencyservice,18,47,1,,,
2026-06-09 11:06:19,deployment,emailservice,7,61,1,,,
2026-06-09 11:06:19,deployment,frontend,50,13,1,,,
2026-06-09 11:06:19,http_p95_latency,frontend,,,,,,484.6
2026-06-09 11:06:19,deployment,paymentservice,4,67,1,,,
2026-06-09 11:06:19,deployment,productcatalogservice,25,19,1,,,
2026-06-09 11:06:19,deployment,recommendationservice,23,58,1,,,
2026-06-09 11:06:19,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:19,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:19,node,master,360,1673,,18.0,43.6,
2026-06-09 11:06:19,node,worker-1,296,1294,,14.8,33.7,
2026-06-09 11:06:19,node,worker-2,230,1167,,11.5,30.4,
2026-06-09 11:06:19,node,worker-3,83,650,,4.2,16.9,
2026-06-09 11:06:19,node,worker-4,413,1973,,20.6,51.4,
2026-06-09 11:06:26,deployment,adservice,6,103,1,,,
2026-06-09 11:06:26,deployment,cartservice,20,62,1,,,
2026-06-09 11:06:26,deployment,checkoutservice,6,11,1,,,
2026-06-09 11:06:26,deployment,currencyservice,30,47,1,,,
2026-06-09 11:06:26,deployment,emailservice,6,61,1,,,
2026-06-09 11:06:26,deployment,frontend,58,13,1,,,
2026-06-09 11:06:26,http_p95_latency,frontend,,,,,,484.6
2026-06-09 11:06:26,deployment,paymentservice,4,67,1,,,
2026-06-09 11:06:26,deployment,productcatalogservice,28,19,1,,,
2026-06-09 11:06:26,deployment,recommendationservice,27,58,1,,,
2026-06-09 11:06:26,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:26,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:26,node,master,360,1673,,18.0,43.6,
2026-06-09 11:06:26,node,worker-1,296,1294,,14.8,33.7,
2026-06-09 11:06:26,node,worker-2,230,1167,,11.5,30.4,
2026-06-09 11:06:26,node,worker-3,83,650,,4.2,16.9,
2026-06-09 11:06:26,node,worker-4,413,1973,,20.6,51.4,
2026-06-09 11:06:32,deployment,adservice,6,103,1,,,
2026-06-09 11:06:32,deployment,cartservice,20,62,1,,,
2026-06-09 11:06:32,deployment,checkoutservice,6,11,1,,,
2026-06-09 11:06:32,deployment,currencyservice,30,47,1,,,
2026-06-09 11:06:32,deployment,emailservice,6,61,1,,,
2026-06-09 11:06:32,deployment,frontend,58,13,1,,,
2026-06-09 11:06:32,http_p95_latency,frontend,,,,,,299.0
2026-06-09 11:06:32,deployment,paymentservice,4,67,1,,,
2026-06-09 11:06:32,deployment,productcatalogservice,28,19,1,,,
2026-06-09 11:06:32,deployment,recommendationservice,27,58,1,,,
2026-06-09 11:06:32,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:32,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:32,node,master,360,1673,,18.0,43.6,
2026-06-09 11:06:32,node,worker-1,296,1294,,14.8,33.7,
2026-06-09 11:06:32,node,worker-2,230,1167,,11.5,30.4,
2026-06-09 11:06:32,node,worker-3,83,650,,4.2,16.9,
2026-06-09 11:06:32,node,worker-4,413,1973,,20.6,51.4,
2026-06-09 11:06:40,deployment,adservice,6,103,1,,,
2026-06-09 11:06:40,deployment,cartservice,20,62,1,,,
2026-06-09 11:06:40,deployment,checkoutservice,7,11,1,,,
2026-06-09 11:06:40,deployment,currencyservice,29,48,1,,,
2026-06-09 11:06:40,deployment,emailservice,6,61,1,,,
2026-06-09 11:06:40,deployment,frontend,56,13,1,,,
2026-06-09 11:06:40,http_p95_latency,frontend,,,,,,299.0
2026-06-09 11:06:40,deployment,paymentservice,3,67,1,,,
2026-06-09 11:06:40,deployment,productcatalogservice,31,19,1,,,
2026-06-09 11:06:40,deployment,recommendationservice,22,58,1,,,
2026-06-09 11:06:40,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:40,deployment,shippingservice,7,22,1,,,
2026-06-09 11:06:40,node,master,335,1619,,16.8,42.2,
2026-06-09 11:06:40,node,worker-1,353,1296,,17.6,33.8,
2026-06-09 11:06:40,node,worker-2,241,1170,,12.0,30.5,
2026-06-09 11:06:40,node,worker-3,105,645,,5.2,16.8,
2026-06-09 11:06:40,node,worker-4,171,1978,,8.6,51.5,
2026-06-09 11:06:45,deployment,adservice,6,103,1,,,
2026-06-09 11:06:45,deployment,cartservice,20,62,1,,,
2026-06-09 11:06:45,deployment,checkoutservice,7,11,1,,,
2026-06-09 11:06:45,deployment,currencyservice,29,48,1,,,
2026-06-09 11:06:45,deployment,emailservice,6,61,1,,,
2026-06-09 11:06:45,deployment,frontend,56,13,1,,,
2026-06-09 11:06:45,http_p95_latency,frontend,,,,,,299.0
2026-06-09 11:06:45,deployment,paymentservice,3,67,1,,,
2026-06-09 11:06:45,deployment,productcatalogservice,31,19,1,,,
2026-06-09 11:06:45,deployment,recommendationservice,22,58,1,,,
2026-06-09 11:06:45,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:45,deployment,shippingservice,7,22,1,,,
2026-06-09 11:06:45,node,master,335,1619,,16.8,42.2,
2026-06-09 11:06:45,node,worker-1,353,1296,,17.6,33.8,
2026-06-09 11:06:45,node,worker-2,241,1170,,12.0,30.5,
2026-06-09 11:06:45,node,worker-3,105,645,,5.2,16.8,
2026-06-09 11:06:45,node,worker-4,171,1978,,8.6,51.5,
2026-06-09 11:06:51,deployment,adservice,7,103,1,,,
2026-06-09 11:06:51,deployment,cartservice,27,62,1,,,
2026-06-09 11:06:51,deployment,checkoutservice,3,11,1,,,
2026-06-09 11:06:51,deployment,currencyservice,29,48,1,,,
2026-06-09 11:06:51,deployment,emailservice,7,61,1,,,
2026-06-09 11:06:51,deployment,frontend,53,13,1,,,
2026-06-09 11:06:51,http_p95_latency,frontend,,,,,,316.3
2026-06-09 11:06:51,deployment,paymentservice,3,66,1,,,
2026-06-09 11:06:51,deployment,productcatalogservice,27,19,1,,,
2026-06-09 11:06:51,deployment,recommendationservice,24,58,1,,,
2026-06-09 11:06:51,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:51,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:51,node,master,316,1579,,15.8,41.1,
2026-06-09 11:06:51,node,worker-1,295,1295,,14.8,33.7,
2026-06-09 11:06:51,node,worker-2,219,1168,,10.9,30.4,
2026-06-09 11:06:51,node,worker-3,83,646,,4.2,16.8,
2026-06-09 11:06:51,node,worker-4,388,2059,,19.4,53.6,
2026-06-09 11:06:58,deployment,adservice,7,103,1,,,
2026-06-09 11:06:58,deployment,cartservice,27,62,1,,,
2026-06-09 11:06:58,deployment,checkoutservice,3,11,1,,,
2026-06-09 11:06:58,deployment,currencyservice,29,48,1,,,
2026-06-09 11:06:58,deployment,emailservice,7,61,1,,,
2026-06-09 11:06:58,deployment,frontend,53,13,1,,,
2026-06-09 11:06:58,http_p95_latency,frontend,,,,,,316.3
2026-06-09 11:06:58,deployment,paymentservice,3,66,1,,,
2026-06-09 11:06:58,deployment,productcatalogservice,27,19,1,,,
2026-06-09 11:06:58,deployment,recommendationservice,24,58,1,,,
2026-06-09 11:06:58,deployment,redis-cart,3,10,1,,,
2026-06-09 11:06:58,deployment,shippingservice,6,22,1,,,
2026-06-09 11:06:58,node,master,316,1579,,15.8,41.1,
2026-06-09 11:06:58,node,worker-1,295,1295,,14.8,33.7,
2026-06-09 11:06:58,node,worker-2,219,1168,,10.9,30.4,
2026-06-09 11:06:58,node,worker-3,83,646,,4.2,16.8,
2026-06-09 11:06:58,node,worker-4,388,2059,,19.4,53.6,
2026-06-09 11:07:04,deployment,adservice,7,103,1,,,
2026-06-09 11:07:04,deployment,cartservice,27,62,1,,,
2026-06-09 11:07:04,deployment,checkoutservice,3,11,1,,,
2026-06-09 11:07:04,deployment,currencyservice,29,48,1,,,
2026-06-09 11:07:04,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:04,deployment,frontend,53,13,1,,,
2026-06-09 11:07:04,http_p95_latency,frontend,,,,,,193.7
2026-06-09 11:07:04,deployment,paymentservice,3,66,1,,,
2026-06-09 11:07:04,deployment,productcatalogservice,27,19,1,,,
2026-06-09 11:07:04,deployment,recommendationservice,24,58,1,,,
2026-06-09 11:07:04,deployment,redis-cart,3,10,1,,,
2026-06-09 11:07:04,deployment,shippingservice,7,22,1,,,
2026-06-09 11:07:04,node,master,284,1575,,14.2,41.0,
2026-06-09 11:07:04,node,worker-1,403,1298,,20.2,33.8,
2026-06-09 11:07:04,node,worker-2,287,1171,,14.3,30.5,
2026-06-09 11:07:04,node,worker-3,127,645,,6.3,16.8,
2026-06-09 11:07:04,node,worker-4,282,1981,,14.1,51.6,
2026-06-09 11:07:12,deployment,adservice,7,103,1,,,
2026-06-09 11:07:12,deployment,cartservice,28,62,1,,,
2026-06-09 11:07:12,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:07:12,deployment,currencyservice,38,54,1,,,
2026-06-09 11:07:12,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:12,deployment,frontend,86,14,1,,,
2026-06-09 11:07:12,http_p95_latency,frontend,,,,,,193.7
2026-06-09 11:07:12,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:12,deployment,productcatalogservice,42,19,1,,,
2026-06-09 11:07:12,deployment,recommendationservice,37,58,1,,,
2026-06-09 11:07:12,deployment,redis-cart,3,10,1,,,
2026-06-09 11:07:12,deployment,shippingservice,7,22,1,,,
2026-06-09 11:07:12,node,master,284,1575,,14.2,41.0,
2026-06-09 11:07:12,node,worker-1,403,1298,,20.2,33.8,
2026-06-09 11:07:12,node,worker-2,287,1171,,14.3,30.5,
2026-06-09 11:07:12,node,worker-3,127,645,,6.3,16.8,
2026-06-09 11:07:12,node,worker-4,282,1981,,14.1,51.6,
2026-06-09 11:07:18,deployment,adservice,7,103,1,,,
2026-06-09 11:07:18,deployment,cartservice,28,62,1,,,
2026-06-09 11:07:18,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:07:18,deployment,currencyservice,38,54,1,,,
2026-06-09 11:07:18,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:18,deployment,frontend,86,14,1,,,
2026-06-09 11:07:18,http_p95_latency,frontend,,,,,,224.3
2026-06-09 11:07:18,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:18,deployment,productcatalogservice,42,19,1,,,
2026-06-09 11:07:18,deployment,recommendationservice,37,58,1,,,
2026-06-09 11:07:18,deployment,redis-cart,3,10,1,,,
2026-06-09 11:07:18,deployment,shippingservice,7,22,1,,,
2026-06-09 11:07:18,node,master,284,1575,,14.2,41.0,
2026-06-09 11:07:18,node,worker-1,403,1298,,20.2,33.8,
2026-06-09 11:07:18,node,worker-2,287,1171,,14.3,30.5,
2026-06-09 11:07:18,node,worker-3,127,645,,6.3,16.8,
2026-06-09 11:07:18,node,worker-4,282,1981,,14.1,51.6,
2026-06-09 11:07:24,deployment,adservice,9,103,1,,,
2026-06-09 11:07:24,deployment,cartservice,45,62,1,,,
2026-06-09 11:07:24,deployment,checkoutservice,5,11,1,,,
2026-06-09 11:07:24,deployment,currencyservice,49,59,1,,,
2026-06-09 11:07:24,deployment,emailservice,8,61,1,,,
2026-06-09 11:07:24,deployment,frontend,91,14,1,,,
2026-06-09 11:07:24,http_p95_latency,frontend,,,,,,224.3
2026-06-09 11:07:24,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:24,deployment,productcatalogservice,43,19,1,,,
2026-06-09 11:07:24,deployment,recommendationservice,37,58,1,,,
2026-06-09 11:07:24,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:24,deployment,shippingservice,6,22,1,,,
2026-06-09 11:07:24,node,master,360,1578,,18.0,41.1,
2026-06-09 11:07:24,node,worker-1,417,1300,,20.8,33.9,
2026-06-09 11:07:24,node,worker-2,291,1178,,14.5,30.7,
2026-06-09 11:07:24,node,worker-3,111,646,,5.5,16.8,
2026-06-09 11:07:24,node,worker-4,417,1946,,20.8,50.7,
2026-06-09 11:07:31,deployment,adservice,9,103,1,,,
2026-06-09 11:07:31,deployment,cartservice,45,62,1,,,
2026-06-09 11:07:31,deployment,checkoutservice,5,11,1,,,
2026-06-09 11:07:31,deployment,currencyservice,49,59,1,,,
2026-06-09 11:07:31,deployment,emailservice,8,61,1,,,
2026-06-09 11:07:31,deployment,frontend,91,14,1,,,
2026-06-09 11:07:31,http_p95_latency,frontend,,,,,,224.3
2026-06-09 11:07:31,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:31,deployment,productcatalogservice,43,19,1,,,
2026-06-09 11:07:31,deployment,recommendationservice,37,58,1,,,
2026-06-09 11:07:31,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:31,deployment,shippingservice,6,22,1,,,
2026-06-09 11:07:31,node,master,360,1578,,18.0,41.1,
2026-06-09 11:07:31,node,worker-1,417,1300,,20.8,33.9,
2026-06-09 11:07:31,node,worker-2,291,1178,,14.5,30.7,
2026-06-09 11:07:31,node,worker-3,111,646,,5.5,16.8,
2026-06-09 11:07:31,node,worker-4,417,1946,,20.8,50.7,
2026-06-09 11:07:38,deployment,adservice,9,103,1,,,
2026-06-09 11:07:38,deployment,cartservice,55,63,1,,,
2026-06-09 11:07:38,deployment,checkoutservice,9,11,1,,,
2026-06-09 11:07:38,deployment,currencyservice,52,61,1,,,
2026-06-09 11:07:38,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:38,deployment,frontend,104,14,1,,,
2026-06-09 11:07:38,http_p95_latency,frontend,,,,,,201.5
2026-06-09 11:07:38,deployment,paymentservice,3,67,1,,,
2026-06-09 11:07:38,deployment,productcatalogservice,53,19,1,,,
2026-06-09 11:07:38,deployment,recommendationservice,40,58,1,,,
2026-06-09 11:07:38,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:38,deployment,shippingservice,10,23,1,,,
2026-06-09 11:07:38,node,master,277,1581,,13.9,41.2,
2026-06-09 11:07:38,node,worker-1,454,1299,,22.7,33.8,
2026-06-09 11:07:38,node,worker-2,317,1178,,15.8,30.7,
2026-06-09 11:07:38,node,worker-3,126,644,,6.3,16.8,
2026-06-09 11:07:38,node,worker-4,274,1956,,13.7,51.0,
2026-06-09 11:07:44,deployment,adservice,9,103,1,,,
2026-06-09 11:07:44,deployment,cartservice,55,63,1,,,
2026-06-09 11:07:44,deployment,checkoutservice,9,11,1,,,
2026-06-09 11:07:44,deployment,currencyservice,52,61,1,,,
2026-06-09 11:07:44,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:44,deployment,frontend,104,14,1,,,
2026-06-09 11:07:44,http_p95_latency,frontend,,,,,,201.5
2026-06-09 11:07:44,deployment,paymentservice,3,67,1,,,
2026-06-09 11:07:44,deployment,productcatalogservice,53,19,1,,,
2026-06-09 11:07:44,deployment,recommendationservice,40,58,1,,,
2026-06-09 11:07:44,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:44,deployment,shippingservice,10,23,1,,,
2026-06-09 11:07:44,node,master,277,1581,,13.9,41.2,
2026-06-09 11:07:44,node,worker-1,454,1299,,22.7,33.8,
2026-06-09 11:07:44,node,worker-2,317,1178,,15.8,30.7,
2026-06-09 11:07:44,node,worker-3,126,644,,6.3,16.8,
2026-06-09 11:07:44,node,worker-4,274,1956,,13.7,51.0,
2026-06-09 11:07:51,deployment,adservice,9,103,1,,,
2026-06-09 11:07:51,deployment,cartservice,44,62,1,,,
2026-06-09 11:07:51,deployment,checkoutservice,6,11,1,,,
2026-06-09 11:07:51,deployment,currencyservice,50,55,1,,,
2026-06-09 11:07:51,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:51,deployment,frontend,92,14,1,,,
2026-06-09 11:07:51,http_p95_latency,frontend,,,,,,126.6
2026-06-09 11:07:51,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:51,deployment,productcatalogservice,46,19,1,,,
2026-06-09 11:07:51,deployment,recommendationservice,38,58,1,,,
2026-06-09 11:07:51,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:51,deployment,shippingservice,7,22,1,,,
2026-06-09 11:07:51,node,master,288,1584,,14.4,41.3,
2026-06-09 11:07:51,node,worker-1,422,1290,,21.1,33.6,
2026-06-09 11:07:51,node,worker-2,290,1176,,14.5,30.6,
2026-06-09 11:07:51,node,worker-3,130,645,,6.5,16.8,
2026-06-09 11:07:51,node,worker-4,421,2054,,21.1,53.5,
2026-06-09 11:07:59,deployment,adservice,9,103,1,,,
2026-06-09 11:07:59,deployment,cartservice,44,62,1,,,
2026-06-09 11:07:59,deployment,checkoutservice,6,11,1,,,
2026-06-09 11:07:59,deployment,currencyservice,50,55,1,,,
2026-06-09 11:07:59,deployment,emailservice,7,61,1,,,
2026-06-09 11:07:59,deployment,frontend,92,14,1,,,
2026-06-09 11:07:59,http_p95_latency,frontend,,,,,,126.6
2026-06-09 11:07:59,deployment,paymentservice,4,67,1,,,
2026-06-09 11:07:59,deployment,productcatalogservice,46,19,1,,,
2026-06-09 11:07:59,deployment,recommendationservice,38,58,1,,,
2026-06-09 11:07:59,deployment,redis-cart,4,10,1,,,
2026-06-09 11:07:59,deployment,shippingservice,7,22,1,,,
2026-06-09 11:07:59,node,master,288,1584,,14.4,41.3,
2026-06-09 11:07:59,node,worker-1,422,1290,,21.1,33.6,
2026-06-09 11:07:59,node,worker-2,290,1176,,14.5,30.6,
2026-06-09 11:07:59,node,worker-3,130,645,,6.5,16.8,
2026-06-09 11:07:59,node,worker-4,421,2054,,21.1,53.5,
2026-06-09 11:08:05,deployment,adservice,9,103,1,,,
2026-06-09 11:08:05,deployment,cartservice,44,62,1,,,
2026-06-09 11:08:05,deployment,checkoutservice,6,11,1,,,
2026-06-09 11:08:05,deployment,currencyservice,65,55,1,,,
2026-06-09 11:08:05,deployment,emailservice,7,61,1,,,
2026-06-09 11:08:05,deployment,frontend,126,13,1,,,
2026-06-09 11:08:05,http_p95_latency,frontend,,,,,,280.4
2026-06-09 11:08:05,deployment,paymentservice,4,66,1,,,
2026-06-09 11:08:05,deployment,productcatalogservice,57,19,1,,,
2026-06-09 11:08:05,deployment,recommendationservice,46,58,1,,,
2026-06-09 11:08:05,deployment,redis-cart,4,10,1,,,
2026-06-09 11:08:05,deployment,shippingservice,7,22,1,,,
2026-06-09 11:08:05,node,master,333,1582,,16.7,41.2,
2026-06-09 11:08:05,node,worker-1,492,1283,,24.6,33.4,
2026-06-09 11:08:05,node,worker-2,344,1174,,17.2,30.6,
2026-06-09 11:08:05,node,worker-3,179,632,,8.9,16.5,
2026-06-09 11:08:05,node,worker-4,368,1967,,18.4,51.2,
2026-06-09 11:08:12,deployment,adservice,10,102,1,,,
2026-06-09 11:08:12,deployment,cartservice,43,62,1,,,
2026-06-09 11:08:12,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:08:12,deployment,currencyservice,65,55,1,,,
2026-06-09 11:08:12,deployment,emailservice,7,61,1,,,
2026-06-09 11:08:12,deployment,frontend,126,13,1,,,
2026-06-09 11:08:12,http_p95_latency,frontend,,,,,,280.4
2026-06-09 11:08:12,deployment,paymentservice,4,66,1,,,
2026-06-09 11:08:12,deployment,productcatalogservice,57,19,1,,,
2026-06-09 11:08:12,deployment,recommendationservice,46,58,1,,,
2026-06-09 11:08:12,deployment,redis-cart,4,10,1,,,
2026-06-09 11:08:12,deployment,shippingservice,7,22,1,,,
2026-06-09 11:08:12,node,master,333,1582,,16.7,41.2,
2026-06-09 11:08:12,node,worker-1,492,1283,,24.6,33.4,
2026-06-09 11:08:12,node,worker-2,344,1174,,17.2,30.6,
2026-06-09 11:08:12,node,worker-3,179,632,,8.9,16.5,
2026-06-09 11:08:12,node,worker-4,368,1967,,18.4,51.2,
2026-06-09 11:08:19,deployment,adservice,10,102,1,,,
2026-06-09 11:08:19,deployment,cartservice,43,62,1,,,
2026-06-09 11:08:19,deployment,checkoutservice,8,11,1,,,
2026-06-09 11:08:19,deployment,currencyservice,65,55,1,,,
2026-06-09 11:08:19,deployment,emailservice,7,61,1,,,
2026-06-09 11:08:19,deployment,frontend,126,13,1,,,
2026-06-09 11:08:19,http_p95_latency,frontend,,,,,,359.4
2026-06-09 11:08:19,deployment,paymentservice,4,66,1,,,
2026-06-09 11:08:19,deployment,productcatalogservice,57,19,1,,,
2026-06-09 11:08:19,deployment,recommendationservice,46,58,1,,,
2026-06-09 11:08:19,deployment,redis-cart,4,10,1,,,
2026-06-09 11:08:19,deployment,shippingservice,7,22,1,,,
2026-06-09 11:08:19,node,master,333,1582,,16.7,41.2,
2026-06-09 11:08:19,node,worker-1,492,1283,,24.6,33.4,
2026-06-09 11:08:19,node,worker-2,344,1174,,17.2,30.6,
2026-06-09 11:08:19,node,worker-3,179,632,,8.9,16.5,
2026-06-09 11:08:19,node,worker-4,368,1967,,18.4,51.2,
2026-06-09 11:08:24,deployment,adservice,12,102,1,,,
2026-06-09 11:08:24,deployment,cartservice,44,62,1,,,
2026-06-09 11:08:24,deployment,checkoutservice,11,11,1,,,
2026-06-09 11:08:24,deployment,currencyservice,83,59,1,,,
2026-06-09 11:08:24,deployment,emailservice,8,61,1,,,
2026-06-09 11:08:24,deployment,frontend,147,14,1,,,
2026-06-09 11:08:24,http_p95_latency,frontend,,,,,,359.4
2026-06-09 11:08:24,deployment,paymentservice,5,67,1,,,
2026-06-09 11:08:24,deployment,productcatalogservice,57,19,1,,,
2026-06-09 11:08:24,deployment,recommendationservice,56,58,1,,,
2026-06-09 11:08:24,deployment,redis-cart,5,10,1,,,
2026-06-09 11:08:24,deployment,shippingservice,10,22,1,,,
2026-06-09 11:08:24,node,master,331,1583,,16.6,41.2,
2026-06-09 11:08:24,node,worker-1,518,1283,,25.9,33.4,
2026-06-09 11:08:24,node,worker-2,415,1180,,20.8,30.7,
2026-06-09 11:08:24,node,worker-3,197,633,,9.8,16.5,
2026-06-09 11:08:24,node,worker-4,405,1914,,20.2,49.9,
2026-06-09 11:08:31,deployment,adservice,12,102,1,,,
2026-06-09 11:08:31,deployment,cartservice,44,62,1,,,
