experiment_name,request_rate,workload_csv,hpa_mode,cpu_target,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
bookinfo_rps500_hpa_cpu80,500,load/book-info/workloads/constant-500.csv,cpu,80,True,True,/app/logs/mesh_metrics_bookinfo_rps500_hpacpu80_default_5s_20260331_193751.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_stats.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_failures.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_exceptions.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rps500_hpa_cpu80,500,load/book-info/workloads/constant-500.csv,cpu,80,True,True,/app/logs/mesh_metrics_bookinfo_rps500_hpacpu80_default_5s_20260331_194109.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_stats.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_failures.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_exceptions.csv,tmp/locust/bookinfo_rps500_hpa_cpu80_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rpswiki-load_hpa_cpu80,wiki-load,load/book-info/workloads/wiki-load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpsconstant-100_hpa_cpu80,constant-100,load/book-info/workloads/constant-100.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki-load_hpa_cpu80,wiki-load,load/book-info/workloads/wiki-load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki-load_hpa_cpu80,wiki-load,load/book-info/workloads/wiki-load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpsconstant-100_hpa_cpu80,constant-100,load/book-info/workloads/constant-100.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpsconstant-100_hpa_cpu80,constant-100,load/book-info/workloads/constant-100.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,422 Client Error: Unprocessable Entity for url: http://18.169.241.77:8000/experiment/setup
