Method,Name,Error,Occurrences
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),1
GET,/product/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /product/1YMWWN1N4O'),3
GET,/product/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /product/66VCHSJNUP'),1
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),5
GET,/product/OLJCESPC7Z,HTTPError('503 Server Error: Service Unavailable for url: /product/OLJCESPC7Z'),1
GET,/product/9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /product/9SIQT8TOJO'),3
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),2
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),3
GET,/product/0PUK6V6EV0,HTTPError('500 Server Error: Internal Server Error for url: /product/0PUK6V6EV0'),2
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),1
GET,/product/L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /product/L9ECAV7KIM'),2
GET,/product/2ZYFJ3GM2N,HTTPError('500 Server Error: Internal Server Error for url: /product/2ZYFJ3GM2N'),1
GET,/product/6E92ZMYYFZ,HTTPError('503 Server Error: Service Unavailable for url: /product/6E92ZMYYFZ'),3
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),2
